"de_recipientcode","recipient_name","flow_name","year","usd_disbursement","usd_disbursement_defl"
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2013,24.692068,28.175638
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2014,5.963381,5.783531
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2015,128.457709,150.7945
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2016,98.223285,115.328269
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2017,46.891333,51.564294
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2018,3.7295290000000003,4.318024
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2019,7.2017619999999996,8.155045
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2020,0.609767,0.669065
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2021,5.180696,5.296763
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2022,4.0399840000000005,4.244745
"AFG","Afghanistan","Other Official Flows (non Export Credit)",2023,0,0
"AFG","Afghanistan","Private Development Finance",2009,4.730061999999999,6.531039
"AFG","Afghanistan","Private Development Finance",2010,6.305556,8.601863999999999
"AFG","Afghanistan","Private Development Finance",2011,22.823627000000002,30.50599
"AFG","Afghanistan","Private Development Finance",2012,17.980947,23.593919
"AFG","Afghanistan","Private Development Finance",2013,11.070231999999999,14.282863
"AFG","Afghanistan","Private Development Finance",2014,1.925395,2.441628
"AFG","Afghanistan","Private Development Finance",2015,3.9003180000000004,4.900585
"AFG","Afghanistan","Private Development Finance",2016,5.553421,6.287706
"AFG","Afghanistan","Private Development Finance",2017,33.076748,39.123538
"AFG","Afghanistan","Private Development Finance",2018,23.222530000000003,25.86111
"AFG","Afghanistan","Private Development Finance",2019,16.418339,18.092352
"AFG","Afghanistan","Private Development Finance",2020,23.590877000000003,27.046375
"AFG","Afghanistan","Private Development Finance",2021,38.204491,41.259498
"AFG","Afghanistan","Private Development Finance",2022,30.312273,31.424064
"AFG","Afghanistan","Private Development Finance",2023,57.70274,57.70274
"AFG","Afghanistan","Private Sector Instruments (PSI)",2023,0.006215,0.006215
"AGO","Angola","Equity Investment",2001,0,0
"AGO","Angola","Equity Investment",2002,0.222025,0.396975
"AGO","Angola","Equity Investment",2003,0.171632,0.264472
"AGO","Angola","Equity Investment",2006,0.192368,0.214579
"AGO","Angola","Equity Investment",2007,0.015144,0.014967
"AGO","Angola","Equity Investment",2008,0.154945,0.134926
"AGO","Angola","Equity Investment",2009,0.7146250000000001,0.721471
"AGO","Angola","Equity Investment",2010,14.207596,15.800868
"AGO","Angola","Equity Investment",2011,1.752442,1.56154
"AGO","Angola","Equity Investment",2012,2.330786,1.865677
"AGO","Angola","Equity Investment",2013,8.362801,7.663148
"AGO","Angola","Equity Investment",2014,4.255797,4.167855
"AGO","Angola","Equity Investment",2015,0,0
"AGO","Angola","Equity Investment",2016,0.361606,0.427545
"AGO","Angola","Equity Investment",2017,0.824672,0.890141
"AGO","Angola","Equity Investment",2018,0,0
"AGO","Angola","Equity Investment",2019,0,0
"AGO","Angola","Equity Investment",2020,0.885717,0.957186
"AGO","Angola","Equity Investment",2021,0,0
"AGO","Angola","Equity Investment",2022,0,0
"AGO","Angola","ODA Grants",1992,38.694342,40.43122
"AGO","Angola","ODA Grants",1993,19.090577,26.699625
"AGO","Angola","ODA Grants",1994,31.454111,42.194775
"AGO","Angola","ODA Grants",1995,66.60195,88.90159
"AGO","Angola","ODA Grants",1996,62.840623,80.98286900000001
"AGO","Angola","ODA Grants",1997,60.181237,80.232614
"AGO","Angola","ODA Grants",1998,76.128732,106.606919
"AGO","Angola","ODA Grants",1999,69.9729,93.112927
"AGO","Angola","ODA Grants",2000,70.331195,102.236103
"AGO","Angola","ODA Grants",2001,118.412187,198.430812
"AGO","Angola","ODA Grants",2002,293.134182,468.995475
"AGO","Angola","ODA Grants",2003,437.711592,624.0330690000001
"AGO","Angola","ODA Grants",2004,392.917401,515.596852
"AGO","Angola","ODA Grants",2005,381.676327,471.325394
"AGO","Angola","ODA Grants",2006,265.016119,315.425368
"AGO","Angola","ODA Grants",2007,346.369085,377.203618
"AGO","Angola","ODA Grants",2008,338.71846,350.976288
"AGO","Angola","ODA Grants",2009,226.82699,246.512533
"AGO","Angola","ODA Grants",2010,242.095548,258.078716
"AGO","Angola","ODA Grants",2011,201.523621,218.018753
"AGO","Angola","ODA Grants",2012,210.045114,233.921375
"AGO","Angola","ODA Grants",2013,211.230805,227.830521
"AGO","Angola","ODA Grants",2014,200.933227,215.821654
"AGO","Angola","ODA Grants",2015,164.217198,196.011448
"AGO","Angola","ODA Grants",2016,198.093471,233.681637
"AGO","Angola","ODA Grants",2017,200.891513,232.385587
"AGO","Angola","ODA Grants",2018,189.0997,206.06395799999999
"AGO","Angola","ODA Grants",2019,178.636741,199.464572
"AGO","Angola","ODA Grants",2020,165.616583,180.679443
"AGO","Angola","ODA Grants",2021,279.219882,285.681582
"AGO","Angola","ODA Grants",2022,199.263209,209.7748
"AGO","Angola","ODA Grants",2023,231.590749,231.590749
"AGO","Angola","ODA Loans",1992,41.769136,59.646118
"AGO","Angola","ODA Loans",1993,29.663344000000002,46.818532
"AGO","Angola","ODA Loans",1994,42.045263,65.173941
"AGO","Angola","ODA Loans",1995,41.315485,57.673680000000004
"AGO","Angola","ODA Loans",1996,12.752127,20.964996000000003
"AGO","Angola","ODA Loans",1997,40.136905999999996,68.127722
"AGO","Angola","ODA Loans",1998,36.689,62.471182
"AGO","Angola","ODA Loans",1999,31.416999999999998,54.014709
"AGO","Angola","ODA Loans",2000,34.958186,56.895902
"AGO","Angola","ODA Loans",2001,16.649289,28.05367
"AGO","Angola","ODA Loans",2002,23.315745,36.472463
"AGO","Angola","ODA Loans",2003,6.718305,9.246841
"AGO","Angola","ODA Loans",2004,718.137862,933.357351
"AGO","Angola","ODA Loans",2005,37.467,46.012112
"AGO","Angola","ODA Loans",2006,32.627309,36.932847
"AGO","Angola","ODA Loans",2007,30.369735,30.732719
"AGO","Angola","ODA Loans",2008,44.067081,47.660906
"AGO","Angola","ODA Loans",2009,55.870433,64.592669
"AGO","Angola","ODA Loans",2010,32.565858,35.206169
"AGO","Angola","ODA Loans",2011,47.913024,49.180745
"AGO","Angola","ODA Loans",2012,80.316888,85.665306
"AGO","Angola","ODA Loans",2013,121.377766,127.648201
"AGO","Angola","ODA Loans",2014,89.55574,93.225615
"AGO","Angola","ODA Loans",2015,289.1018,286.28871
"AGO","Angola","ODA Loans",2016,83.734623,96.842242
"AGO","Angola","ODA Loans",2017,95.674205,106.341909
"AGO","Angola","ODA Loans",2018,57.172228000000004,60.644339
"AGO","Angola","ODA Loans",2019,44.951465999999996,49.774333
"AGO","Angola","ODA Loans",2020,19.838969,21.219087000000002
"AGO","Angola","ODA Loans",2021,27.72001,27.334275
"AGO","Angola","ODA Loans",2022,35.499146,37.864744
"AGO","Angola","ODA Loans",2023,28.080994,28.080994
"AGO","Angola","Other Official Flows (non Export Credit)",1992,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",1993,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",1994,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",1995,17.233787,21.593404
"AGO","Angola","Other Official Flows (non Export Credit)",1996,42.701383,58.487871999999996
"AGO","Angola","Other Official Flows (non Export Credit)",1997,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",1998,0.041,0.072833
"AGO","Angola","Other Official Flows (non Export Credit)",1999,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2000,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2001,1.169469,1.8633790000000001
"AGO","Angola","Other Official Flows (non Export Credit)",2002,0.119812,0.184773
"AGO","Angola","Other Official Flows (non Export Credit)",2003,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2004,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2005,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2006,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2007,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2008,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2009,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2010,4.75,6.479819
"AGO","Angola","Other Official Flows (non Export Credit)",2011,0,0
"AGO","Angola","Other Official Flows (non Export Credit)",2014,627.129739,652.289282
"AGO","Angola","Other Official Flows (non Export Credit)",2015,459.8,530.6861170000001
"AGO","Angola","Other Official Flows (non Export Credit)",2016,430.528472,495.465563
"AGO","Angola","Other Official Flows (non Export Credit)",2017,135.843878,154.830429
"AGO","Angola","Other Official Flows (non Export Credit)",2018,45.153065,49.30644
"AGO","Angola","Other Official Flows (non Export Credit)",2019,637.258056,708.772147
"AGO","Angola","Other Official Flows (non Export Credit)",2020,314.719049,339.754486
"AGO","Angola","Other Official Flows (non Export Credit)",2021,840.989279,855.578033
"AGO","Angola","Other Official Flows (non Export Credit)",2022,898.417914,940.886076
"AGO","Angola","Other Official Flows (non Export Credit)",2023,790.263293,790.263293
"AGO","Angola","Private Development Finance",2009,1.964824,2.712932
"AGO","Angola","Private Development Finance",2010,5.582,7.614808999999999
"AGO","Angola","Private Development Finance",2011,4.695177,6.275563
"AGO","Angola","Private Development Finance",2012,4.53301,5.948043
"AGO","Angola","Private Development Finance",2013,2.001,2.5817
"AGO","Angola","Private Development Finance",2014,2.401447,3.0453200000000002
"AGO","Angola","Private Development Finance",2015,1.0292810000000001,1.293249
"AGO","Angola","Private Development Finance",2017,10.409694,12.642441
"AGO","Angola","Private Development Finance",2018,1.723021,1.9992219999999998
"AGO","Angola","Private Development Finance",2019,0.36922499999999997,0.426908
"AGO","Angola","Private Development Finance",2020,3.178014,3.515987
"AGO","Angola","Private Development Finance",2021,1.331965,1.462351
"AGO","Angola","Private Development Finance",2022,2.934103,3.049909
"AGO","Angola","Private Development Finance",2023,1.9440639999999998,1.9440639999999998
"AGO","Angola","Private Sector Instruments (PSI)",2023,2.113162,2.113162
"AIA","Anguilla","ODA Grants",1992,0.053768,0.094306
"AIA","Anguilla","ODA Grants",1993,0,0
"AIA","Anguilla","ODA Grants",1994,0.019767,0.03812
"AIA","Anguilla","ODA Grants",1995,0.930491,1.260953
"AIA","Anguilla","ODA Grants",1996,0.211983,0.298992
"AIA","Anguilla","ODA Grants",1997,0.588168,0.9160159999999999
"AIA","Anguilla","ODA Grants",1998,3.872388,5.2716840000000005
"AIA","Anguilla","ODA Grants",1999,2.094944,2.876253
"AIA","Anguilla","ODA Grants",2000,2.462321,3.541056
"AIA","Anguilla","ODA Grants",2001,2.612851,3.931419
"AIA","Anguilla","ODA Grants",2002,1.686113,2.3638719999999998
"AIA","Anguilla","ODA Grants",2003,2.617034,3.4137
"AIA","Anguilla","ODA Grants",2004,2.305568,2.665769
"AIA","Anguilla","ODA Grants",2005,2.536368,2.710562
"AIA","Anguilla","ODA Grants",2006,4.682158,5.511907
"AIA","Anguilla","ODA Grants",2007,0.225414,0.208122
"AIA","Anguilla","ODA Grants",2008,3.511748,3.4678139999999997
"AIA","Anguilla","ODA Grants",2009,1.544436,1.814553
"AIA","Anguilla","ODA Grants",2010,8.588031,9.093648
"AIA","Anguilla","ODA Grants",2011,0.419325,0.44009600000000004
"AIA","Anguilla","ODA Grants",2012,5.208179,5.5313349999999994
"AIA","Anguilla","ODA Grants",2013,7.899811,8.109623
"ALB","Albania","Equity Investment",2005,3.693761,4.651538
"ALB","Albania","Equity Investment",2007,0,0
"ALB","Albania","Equity Investment",2008,3.18986,4.011258
"ALB","Albania","Equity Investment",2009,0,0
"ALB","Albania","Equity Investment",2010,3.06e-4,3.63e-4
"ALB","Albania","Equity Investment",2011,1.0832870000000001,1.078529
"ALB","Albania","Equity Investment",2012,0,0
"ALB","Albania","Equity Investment",2013,1.991503,2.025484
"ALB","Albania","Equity Investment",2014,0,0
"ALB","Albania","Equity Investment",2015,0.415973,0.494698
"ALB","Albania","Equity Investment",2016,1.01515,1.200264
"ALB","Albania","Equity Investment",2017,0,0
"ALB","Albania","Equity Investment",2018,0,0
"ALB","Albania","Equity Investment",2019,0,0
"ALB","Albania","Equity Investment",2020,0,0
"ALB","Albania","Equity Investment",2021,0,0
"ALB","Albania","Equity Investment",2022,0,0
"ALB","Albania","ODA Grants",1992,5.882331,6.919723
"ALB","Albania","ODA Grants",1993,0.536375,0.8169379999999999
"ALB","Albania","ODA Grants",1994,11.359109,16.144533
"ALB","Albania","ODA Grants",1995,6.511682,8.051718
"ALB","Albania","ODA Grants",1996,13.6929,17.913642
"ALB","Albania","ODA Grants",1997,10.579398,15.731356
"ALB","Albania","ODA Grants",1998,10.911189,17.264791
"ALB","Albania","ODA Grants",1999,51.682308,72.965215
"ALB","Albania","ODA Grants",2000,31.045594,48.097175
"ALB","Albania","ODA Grants",2001,59.211025,102.392866
"ALB","Albania","ODA Grants",2002,137.578862,225.492907
"ALB","Albania","ODA Grants",2003,211.213661,291.528581
"ALB","Albania","ODA Grants",2004,149.440102,197.846615
"ALB","Albania","ODA Grants",2005,237.694778,297.046313
"ALB","Albania","ODA Grants",2006,240.977883,294.428896
"ALB","Albania","ODA Grants",2007,224.211042,246.27258799999998
"ALB","Albania","ODA Grants",2008,292.070179,297.27214
"ALB","Albania","ODA Grants",2009,257.256514,268.41278
"ALB","Albania","ODA Grants",2010,254.420605,270.472782
"ALB","Albania","ODA Grants",2011,258.93733199999997,254.165843
"ALB","Albania","ODA Grants",2012,236.362448,247.710706
"ALB","Albania","ODA Grants",2013,190.092833,198.461978
"ALB","Albania","ODA Grants",2014,230.25481100000002,236.222053
"ALB","Albania","ODA Grants",2015,295.594996,322.557428
"ALB","Albania","ODA Grants",2016,212.942655,247.494076
"ALB","Albania","ODA Grants",2017,216.720688,247.08187900000001
"ALB","Albania","ODA Grants",2018,276.13485199999997,302.216167
"ALB","Albania","ODA Grants",2019,252.5494,283.955279
"ALB","Albania","ODA Grants",2020,360.734426,402.27379
"ALB","Albania","ODA Grants",2021,369.232175,377.602781
"ALB","Albania","ODA Grants",2022,327.482907,353.198264
"ALB","Albania","ODA Grants",2023,371.414387,371.414387
"ALB","Albania","ODA Loans",1992,38.65294,54.113636
"ALB","Albania","ODA Loans",1993,20.048780999999998,33.044739
"ALB","Albania","ODA Loans",1994,14.175536999999998,14.030846
"ALB","Albania","ODA Loans",1995,14.536151,18.831046
"ALB","Albania","ODA Loans",1996,20.762654,28.346694
"ALB","Albania","ODA Loans",1997,33.314393,44.588922
"ALB","Albania","ODA Loans",1998,21.413936,32.089171
"ALB","Albania","ODA Loans",1999,15.466048,18.991397
"ALB","Albania","ODA Loans",2000,94.169352,143.087683
"ALB","Albania","ODA Loans",2001,59.258002999999995,97.458234
"ALB","Albania","ODA Loans",2002,116.04669200000001,184.09072799999998
"ALB","Albania","ODA Loans",2003,92.967005,124.926432
"ALB","Albania","ODA Loans",2004,98.607485,120.498499
"ALB","Albania","ODA Loans",2005,90.325424,104.424328
"ALB","Albania","ODA Loans",2006,89.117125,102.583854
"ALB","Albania","ODA Loans",2007,91.991652,100.922252
"ALB","Albania","ODA Loans",2008,82.945386,83.857555
"ALB","Albania","ODA Loans",2009,120.804844,126.116454
"ALB","Albania","ODA Loans",2010,143.718836,151.892929
"ALB","Albania","ODA Loans",2011,171.81507,172.200436
"ALB","Albania","ODA Loans",2012,156.157662,164.380479
"ALB","Albania","ODA Loans",2013,132.954834,137.19841
"ALB","Albania","ODA Loans",2014,125.228826,124.184114
"ALB","Albania","ODA Loans",2015,129.626444,151.386981
"ALB","Albania","ODA Loans",2016,90.821336,102.128502
"ALB","Albania","ODA Loans",2017,66.86098,72.301098
"ALB","Albania","ODA Loans",2018,189.941604,204.24655299999998
"ALB","Albania","ODA Loans",2019,61.076058,67.874536
"ALB","Albania","ODA Loans",2020,82.33984600000001,89.371061
"ALB","Albania","ODA Loans",2021,410.371494,419.46238900000003
"ALB","Albania","ODA Loans",2022,130.191618,140.909204
"ALB","Albania","ODA Loans",2023,129.661184,129.661184
"ALB","Albania","Other Official Flows (non Export Credit)",1993,0,0
"ALB","Albania","Other Official Flows (non Export Credit)",2005,9.597316,11.721751
"ALB","Albania","Other Official Flows (non Export Credit)",2006,21.33802,25.300121
"ALB","Albania","Other Official Flows (non Export Credit)",2007,47.794606,51.015792
"ALB","Albania","Other Official Flows (non Export Credit)",2008,46.382611999999995,46.649931
"ALB","Albania","Other Official Flows (non Export Credit)",2009,130.848532,141.28918
"ALB","Albania","Other Official Flows (non Export Credit)",2010,115.461113,125.409277
"ALB","Albania","Other Official Flows (non Export Credit)",2011,166.981662,172.031834
"ALB","Albania","Other Official Flows (non Export Credit)",2012,198.949417,209.877864
"ALB","Albania","Other Official Flows (non Export Credit)",2013,123.32335499999999,128.370237
"ALB","Albania","Other Official Flows (non Export Credit)",2014,302.836667,315.226714
"ALB","Albania","Other Official Flows (non Export Credit)",2015,59.502736,68.543559
"ALB","Albania","Other Official Flows (non Export Credit)",2016,71.313553,82.992129
"ALB","Albania","Other Official Flows (non Export Credit)",2017,365.59407500000003,416.69221600000003
"ALB","Albania","Other Official Flows (non Export Credit)",2018,501.46322200000003,548.110764
"ALB","Albania","Other Official Flows (non Export Credit)",2019,169.690216,188.732755
"ALB","Albania","Other Official Flows (non Export Credit)",2020,261.312096,282.029291
"ALB","Albania","Other Official Flows (non Export Credit)",2021,220.403244,224.206861
"ALB","Albania","Other Official Flows (non Export Credit)",2022,249.6085,261.716704
"ALB","Albania","Other Official Flows (non Export Credit)",2023,231.25360700000002,231.25360700000002
"ALB","Albania","Private Development Finance",2013,2.050026,2.163557
"ALB","Albania","Private Development Finance",2014,2.744748,2.8807419999999997
"ALB","Albania","Private Development Finance",2016,0.9882470000000001,1.169285
"ALB","Albania","Private Development Finance",2017,2.769386,3.1921180000000002
"ALB","Albania","Private Development Finance",2018,0.317724,0.354625
"ALB","Albania","Private Development Finance",2019,1.698432,1.884135
"ALB","Albania","Private Development Finance",2020,1.5802239999999999,1.743995
"ALB","Albania","Private Development Finance",2021,0.945749,1.000216
"ALB","Albania","Private Development Finance",2022,1.077068,1.134293
"ALB","Albania","Private Development Finance",2023,0.5,0.5
"ALB","Albania","Private Sector Instruments (PSI)",2023,0,0
"ARE","United Arab Emirates","ODA Grants",1994,1.584086,2.233375
"ARE","United Arab Emirates","ODA Grants",1995,1.161891,1.455813
"ARE","United Arab Emirates","ODA Loans",1992,0,0
"ARE","United Arab Emirates","ODA Loans",1993,0,0
"ARE","United Arab Emirates","ODA Loans",1994,0,0
"ARE","United Arab Emirates","ODA Loans",1995,0,0
"ARE","United Arab Emirates","Other Official Flows (non Export Credit)",1994,0,0
"ARG","Argentina","Equity Investment",2000,0,0
"ARG","Argentina","Equity Investment",2001,0,0
"ARG","Argentina","Equity Investment",2009,0,0
"ARG","Argentina","Equity Investment",2010,0.578219,0.631281
"ARG","Argentina","Equity Investment",2011,2.058703,2.120966
"ARG","Argentina","Equity Investment",2012,1.429102,1.506866
"ARG","Argentina","Equity Investment",2013,1.05812,1.101422
"ARG","Argentina","Equity Investment",2014,1.082884,1.1271879999999999
"ARG","Argentina","Equity Investment",2015,0.60907,0.701612
"ARG","Argentina","Equity Investment",2016,0.42293000000000003,0.492192
"ARG","Argentina","Equity Investment",2017,0.20630700000000002,0.235142
"ARG","Argentina","Equity Investment",2018,10.602027999999999,11.144053
"ARG","Argentina","Equity Investment",2019,0.819663,0.9116460000000001
"ARG","Argentina","Equity Investment",2022,1.50517,1.629908
"ARG","Argentina","ODA Grants",1992,6.474995,6.152995
"ARG","Argentina","ODA Grants",1993,7.667307,6.197331
"ARG","Argentina","ODA Grants",1994,6.525036,9.285335
"ARG","Argentina","ODA Grants",1995,3.862501,4.952595
"ARG","Argentina","ODA Grants",1996,6.7782860000000005,8.656117
"ARG","Argentina","ODA Grants",1997,5.385414,7.7946800000000005
"ARG","Argentina","ODA Grants",1998,2.375922,3.532276
"ARG","Argentina","ODA Grants",1999,5.809381,9.525669
"ARG","Argentina","ODA Grants",2000,5.937367,10.617872
"ARG","Argentina","ODA Grants",2001,28.678887,50.256466
"ARG","Argentina","ODA Grants",2002,42.144974,70.916535
"ARG","Argentina","ODA Grants",2003,79.035356,103.741289
"ARG","Argentina","ODA Grants",2004,70.218519,81.823607
"ARG","Argentina","ODA Grants",2005,71.216436,81.34125399999999
"ARG","Argentina","ODA Grants",2006,89.116174,101.59564
"ARG","Argentina","ODA Grants",2007,100.873336,107.087544
"ARG","Argentina","ODA Grants",2008,117.675102,118.00554
"ARG","Argentina","ODA Grants",2009,126.139914,125.795361
"ARG","Argentina","ODA Grants",2010,107.971666,110.396109
"ARG","Argentina","ODA Grants",2011,121.038949,119.787335
"ARG","Argentina","ODA Grants",2012,93.552788,96.449426
"ARG","Argentina","ODA Grants",2013,82.873479,83.912682
"ARG","Argentina","ODA Grants",2014,79.333203,79.02631
"ARG","Argentina","ODA Grants",2015,67.87301,78.750224
"ARG","Argentina","ODA Grants",2016,69.987837,81.140905
"ARG","Argentina","ODA Grants",2017,76.07081099999999,85.371286
"ARG","Argentina","ODA Grants",2018,78.118485,84.63269700000001
"ARG","Argentina","ODA Grants",2019,82.941896,91.85495
"ARG","Argentina","ODA Grants",2020,88.20445,94.899989
"ARG","Argentina","ODA Grants",2021,93.21475,93.251869
"ARG","Argentina","ODA Grants",2022,158.946189,167.532349
"ARG","Argentina","ODA Grants",2023,153.726196,153.726196
"ARG","Argentina","ODA Loans",1992,122.67457499999999,182.144377
"ARG","Argentina","ODA Loans",1993,213.984712,378.650259
"ARG","Argentina","ODA Loans",1994,69.33420100000001,117.19527699999999
"ARG","Argentina","ODA Loans",1995,81.27381,123.735025
"ARG","Argentina","ODA Loans",1996,24.965813999999998,36.702419
"ARG","Argentina","ODA Loans",1997,77.953089,128.830512
"ARG","Argentina","ODA Loans",1998,63.338108,105.77502
